shape,algorithm,chamfer_distance,mse,num_points
torus,Robust_Statistical_Normal_Filtering,0.06574980818875774,0.007779747759745287,37000
torus,Statistical_Outlier_Removal,0.07026180521379734,0.07026180521379734,37000
torus,Moving_Least_Squares,0.04724189061900183,0.006947262807286101,37000
torus,Learned Bilateral Filtering,0.042958376915052846,0.006550664579525785,37000
cone,Robust_Statistical_Normal_Filtering,0.033742715939271695,0.002371326895676045,37000
cone,Statistical_Outlier_Removal,0.03584172550970187,0.03584172550970187,37000
cone,Moving_Least_Squares,0.024259600980055834,0.0021114921220842585,37000
cone,Learned Bilateral Filtering,0.03041962324415137,0.0023817846296134543,37000
star,Robust_Statistical_Normal_Filtering,0.033770291625650706,0.002655797874508539,36996
star,Statistical_Outlier_Removal,0.03416141947681075,0.03416141947681075,36996
star,Moving_Least_Squares,0.027405730839684124,0.0024892377558446994,36996
star,Learned Bilateral Filtering,0.0586698327353013,0.004232217497047664,36996
chair,Robust_Statistical_Normal_Filtering,0.03831336553868872,0.0037994519127835507,36996
chair,Statistical_Outlier_Removal,0.03943799698799624,0.03943799698799624,36996
chair,Moving_Least_Squares,0.03631929969566153,0.0037643157808811244,36996
chair,Learned Bilateral Filtering,0.03694099672861582,0.005825363926895373,36996
cylinder,Robust_Statistical_Normal_Filtering,0.04900323760716406,0.004012753574309914,37000
cylinder,Statistical_Outlier_Removal,0.053641547643955484,0.053641547643955484,37000
cylinder,Moving_Least_Squares,0.035513194506030396,0.0036124994889454756,37000
cylinder,Learned Bilateral Filtering,0.030672629380334236,0.0034269359307325695,37000
bumpy_sphere,Robust_Statistical_Normal_Filtering,0.040952435243432034,0.003003718510090649,37000
bumpy_sphere,Statistical_Outlier_Removal,0.04575546969257839,0.04575546969257839,37000
bumpy_sphere,Moving_Least_Squares,0.030328522533629564,0.002696549906885726,37000
bumpy_sphere,Learned Bilateral Filtering,0.04779010621667559,0.0031608607454300564,37000
hyperboloid,Robust_Statistical_Normal_Filtering,0.12928126914491103,0.03313373825812119,37000
hyperboloid,Statistical_Outlier_Removal,0.167567640846899,0.167567640846899,37000
hyperboloid,Moving_Least_Squares,0.10811590666110203,0.03178388502234245,37000
hyperboloid,Learned Bilateral Filtering,0.1077638487315919,0.031146935784314385,37000
